Date,Open,Price,High,Low,Close,Volume,cpi
3/20/2019,78.64,84.49,79.09,78.18,78.45,267390.19,5.591641
3/19/2019,79.09,84.42,79.09,78,78.18,195372.09,5.591641
3/18/2019,78.45,84.42,78.55,77.91,78.27,162761.5,5.591641
3/14/2019,78.36,84.49,79.55,78.18,78.45,208977.99,5.591641
3/13/2019,79.36,84.42,79.36,78.55,78.64,118796.7,5.591641
3/12/2019,78.82,84.42,80.27,78.64,79.45,168098.7,5.591641
3/11/2019,79.82,84.42,80,78.36,78.82,250452.39,5.591641
3/7/2019,80.36,84.41,80.55,79.09,79.18,113186.7,5.591641
3/6/2019,80.27,84.42,81.64,80.18,80.36,127429.5,5.591641
3/5/2019,81.27,84.42,81.55,79.27,80.55,237585.69,5.591641
3/4/2019,80.91,84.42,80.91,79.09,80.09,331031.79,5.591641
2/27/2019,83.91,84.42,84,82.45,82.73,347093.99,5.53507
2/26/2019,82.91,84.49,85,82.82,84,541465.08,5.53507
2/25/2019,82.73,84.27,84.09,82.73,82.91,508328.69,5.53507
2/20/2019,81.09,84.27,81.91,80.64,81.55,155741.3,5.53507
2/19/2019,80.45,84.08,80.91,80,80.55,232594.99,5.53507
2/18/2019,80.91,84.16,81.82,80.73,80.91,187493.89,5.53507
2/14/2019,80.55,84.09,81.73,80,81.09,197165.09,5.53507
2/13/2019,81.64,84.25,81.64,80.91,81.18,114758.6,5.53507
2/12/2019,80.82,83.93,81.82,80.82,81.64,305341.29,5.53507
2/11/2019,80.55,84.17,81.27,80.55,80.91,166006.5,5.53507
2/7/2019,82.73,83.77,82.82,80.82,81.09,534282.08,5.53507
2/6/2019,81.55,84.49,82.82,79.91,82.36,540237.48,5.53507
2/5/2019,79.73,83.85,82.91,78.82,81.55,186905.39,5.53507
2/4/2019,79.45,83.85,79.45,78.45,79.09,131274,5.53507
1/31/2019,80.91,84.01,81.36,78.18,79.09,211014.09,5.46875
1/30/2019,81.27,83.93,81.64,80.27,80.45,198822.79,5.46875
1/29/2019,82.18,83.84,82.18,80.82,81.27,248550.49,5.46875
1/28/2019,79.18,83.69,82.64,79.18,81,518357.38,5.46875
1/24/2019,79.64,83.93,80.27,79.55,80.09,369587.89,5.46875
1/23/2019,79.27,84.01,80.18,78.82,79.18,353201.19,5.46875
1/22/2019,78.18,84.17,79.55,78,79,449234.49,5.46875
1/21/2019,78.18,84.33,78.73,77.27,78.55,473390.49,5.46875
1/17/2019,77,84.17,77.64,76.64,77,260873.79,5.46875
1/16/2019,77.18,84.44,78.55,77,77.64,721491.08,5.46875
1/15/2019,77.73,84.27,78.18,73.73,76.91,588833.28,5.46875
1/14/2019,78.27,84.27,79,72.45,77.73,304377.69,5.46875
1/10/2019,78.73,83.8,78.73,77.73,78.27,280191.99,5.46875
1/9/2019,78.55,84.44,78.91,77.73,78.09,574135.08,5.46875
1/8/2019,77.73,83.55,78.73,76.45,78.55,708739.88,5.46875
1/7/2019,78.18,83.65,78.18,75.45,77.18,569614.08,5.46875
1/3/2019,74.36,83.86,77.73,74.36,76.64,1334644.26,5.46875
1/2/2019,75.09,83.94,75.45,72.73,73.91,678243.48,5.46875
1/1/2019,73.09,83.94,75.45,73.09,74.55,672527.88,5.46875
12/27/2018,70.91,84.34,72.18,70.55,71.91,257726.69,5.400875
12/26/2018,69.36,83.94,71.36,69.27,70.55,1295233.46,5.400875
12/24/2018,68.73,84.02,69.55,68.64,69.27,237475.69,5.400875
12/20/2018,68.18,83.62,68.18,67.45,67.73,288075.69,5.400875
12/19/2018,68.45,83.78,68.45,67.64,67.82,112454.1,5.400875
12/18/2018,67.73,83.62,68.64,67.64,67.82,55587.4,5.400875
12/17/2018,67.55,83.97,68.55,67.55,67.73,236438.39,5.400875
12/13/2018,68,83.57,68,67.27,67.55,34986.6,5.400875
12/12/2018,67.73,83.85,68.27,66.91,67.36,76707.4,5.400875
12/11/2018,69,83.77,69.09,67.27,67.55,140138.9,5.400875
12/10/2018,69.27,83.6,69.45,68,68.18,178625.69,5.400875
12/6/2018,72.27,83.76,72.27,70.82,71.18,77268.4,5.400875
12/5/2018,72.73,83.51,72.73,71.36,71.73,58360.5,5.400875
12/4/2018,73.27,83.94,73.64,72.55,72.73,168044.8,5.400875
12/3/2018,72,83.44,73.64,71.91,73.27,272170.79,5.400875
11/29/2018,69.91,83.44,72.73,69.91,71.73,176153.99,5.319542
11/28/2018,70.27,83.51,71.36,69.55,69.82,120441.2,5.319542
11/27/2018,69.73,83.68,71.55,69.73,71.36,155636.8,5.319542
11/22/2018,70.91,83.68,72.55,70.82,72.45,119271.9,5.319542
11/20/2018,70.55,83.64,72.09,70.45,71.64,315571.29,5.319542
11/19/2018,71.36,83.72,71.64,70.45,70.82,134644.4,5.319542
11/15/2018,70.91,83.67,72.45,69.45,71.64,550270.58,5.319542
11/14/2018,73.18,83.35,73.82,70.45,71.64,778259.88,5.319542
11/13/2018,72.27,83.4,73,71.36,72.64,336263.39,5.319542
11/12/2018,71.18,83.8,73.36,71.18,72,389201.99,5.319542
11/8/2018,70,83.56,71.36,69.91,70.36,316331.39,5.319542
11/7/2018,68.27,83.77,70.91,68,70,351678.79,5.319542
11/6/2018,67.82,83.87,69.09,67.82,68.27,164749.2,5.319542
